"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\address-card-regular.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\chevron-down-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\chevron-left-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\chevron-right-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\magnifying-glass-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\right-to-bracket-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\square-plus-regular.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\square-plus-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\square-xmark-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\trash-can-regular.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\assets\trash-can-solid.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\colors.scss", "SCSS", 0, 0, 5, 0, 0, 2, 7
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\LoginForm\LoginForm.jsx", "JavaScript JSX", 0, 94, 0, 0, 5, 10, 109
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\LoginForm\LoginForm.scss", "SCSS", 0, 0, 176, 0, 0, 5, 181
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\LoginState\LoginState.jsx", "JavaScript JSX", 0, 37, 0, 0, 6, 11, 54
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\LoginState\LoginState.scss", "SCSS", 0, 0, 42, 0, 0, 1, 43
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\SignUpForm\SignupForm.jsx", "JavaScript JSX", 0, 57, 0, 0, 2, 6, 65
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Auth\SignUpForm\SignupForm.scss", "SCSS", 0, 0, 175, 0, 2, 5, 182
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\DashboardInterface\DashboardInterface.jsx", "JavaScript JSX", 0, 32, 0, 0, 1, 6, 39
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\DashboardInterface\DashboardInterface.scss", "SCSS", 0, 0, 30, 0, 1, 2, 33
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\DashboardMenu\DashboardMenu.jsx", "JavaScript JSX", 0, 50, 0, 0, 1, 7, 58
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\DashboardMenu\DashboardMenu.scss", "SCSS", 0, 0, 11, 0, 0, 2, 13
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\AddBooks\AddBooks.jsx", "JavaScript JSX", 0, 178, 0, 0, 5, 15, 198
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\AddBooks\AddBooks.scss", "SCSS", 0, 0, 198, 0, 0, 9, 207
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\AddUsers\AddUsers.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 4, 14
"c:\Users\Usama\Desktop\Git Repository\Library System\client\src\components\Dashboards\Dashes\AddUsers\AddUsers.scss", "SCSS", 0, 0, 10, 0, 0, 1, 11
